id,State_Name,Mean,Median,Stdev,sum_w
1011530,Alabama,48217,33446,42907,68.06510839
101901,Alabama,14741,11398,10903,47.9984
101910,Alabama,28347,20997,28311,1057.617393
101920,Alabama,242857,300000,25317,1.133106667
101930,Alabama,59694,38029,60946,13447.91383
101940,Alabama,50047,35147,43788,519.2748136
101950,Alabama,41239,29150,38565,7625.528576
101960,Alabama,32777,12379,58584,196.0868348
101970,Alabama,33353,25776,27149,334.9517462
101980,Alabama,65576,64695,38729,2521.942894
101990,Alabama,41709,27321,44007,239.6872926
1021006,Alabama,45862,32942,40674,1123.83961
1021016,Alabama,62222,56867,43036,1666.540389
1021026,Alabama,90262,71401,66042,1559.238222
1021036,Alabama,92018,74570,65160,1035.308758
1021046,Alabama,78399,71839,54844,641.3010013
1021056,Alabama,85122,75896,58979,959.142978
102106,Alabama,66000,54091,47663,1009.159632
1021066,Alabama,34064,28981,28466,438.0792492
1021076,Alabama,38882,27264,45128,922.6311462
1021086,Alabama,40948,31044,36118,1265.891659
1021096,Alabama,48421,35722,44616,1177.677057
1021106,Alabama,77977,74807,59517,502.9102965
1021116,Alabama,37965,29413,34880,615.7445284
1021126,Alabama,24931,12361,34393,484.2604787
1021136,Alabama,60252,45803,55310,2029.908687
1021146,Alabama,53301,40174,43882,954.5518482
1021156,Alabama,40072,29226,37412,1103.88352
102116,Alabama,35951,23009,38779,1174.454588
1021166,Alabama,48623,40342,41443,764.841684
1021176,Alabama,49046,36818,42393,680.4676136
1021186,Alabama,58180,51927,40722,510.8444983
1021196,Alabama,41464,35150,30951,174.3282399
1021206,Alabama,59061,300000,36002,341.5219868
1021216,Alabama,55216,43407,52450,291.7810769
1021226,Alabama,36474,24377,31702,452.1590132
1021236,Alabama,107603,97539,63498,939.7259125
1021246,Alabama,50583,41882,37860,343.6169668
1021256,Alabama,69996,300000,37937,178.7583046
102126,Alabama,56638,41768,48428,1636.79996
1021266,Alabama,67864,52050,64026,547.2694024
1021276,Alabama,71445,58784,51329,211.8549534
1021286,Alabama,65583,300000,59906,202.7281904
1021296,Alabama,49212,300000,21308,345.3251216
1021306,Alabama,57395,46769,46123,525.6204634
1021316,Alabama,56947,45615,47083,215.492279
1021326,Alabama,43222,26304,47072,285.4825837
1021336,Alabama,67555,54574,61374,173.5244742
1021346,Alabama,34855,32407,21562,501.2246477
1021356,Alabama,56385,49459,39388,488.4481825
102136,Alabama,53998,39956,48887,1013.526324
1021366,Alabama,47717,30660,46395,295.2199241
1021376,Alabama,58684,47284,39926,512.8839036
1021386,Alabama,30765,25206,26768,298.2455171
1021396,Alabama,30564,21911,23037,278.1915077
1021406,Alabama,36333,27877,29844,404.4778807
1021416,Alabama,27581,15743,28241,298.1823412
1021426,Alabama,55336,41259,45442,493.6837654
1021436,Alabama,54371,46871,46868,251.3530992
1021446,Alabama,49509,48881,28239,359.1819583
1021456,Alabama,46650,41809,29011,382.8876521
102146,Alabama,40352,30601,39286,386.1353965
1021466,Alabama,33803,13029,35858,100.2881019
1021476,Alabama,35282,27332,29556,214.8918525
1021486,Alabama,72487,64034,45909,566.3941522
1021496,Alabama,0,0,0,0
1021506,Alabama,45966,300000,34017,352.1625576
1021516,Alabama,38000,30130,30948,138.058378
1021526,Alabama,44019,27057,50751,263.194873
1021536,Alabama,57239,43170,47243,573.2144311
1021546,Alabama,51542,300000,60348,208.3649444
1021556,Alabama,54388,37212,48573,315.5869735
102156,Alabama,47550,35327,39518,518.1484343
1021566,Alabama,40648,33316,32761,353.5840698
1021576,Alabama,67265,46110,59481,295.7606065
1021586,Alabama,55952,40705,54619,162.5942132
1021596,Alabama,40451,36477,28494,195.891208
10216,Alabama,64173,45281,57389,1048.75579
1021606,Alabama,50714,38228,55570,370.3983285
1021616,Alabama,40592,23781,37971,300.2500931
1021626,Alabama,44628,35064,33198,165.0631848
1021636,Alabama,31459,25199,32837,452.8846457
1021646,Alabama,51782,34974,43086,178.4268049
1021656,Alabama,46792,30746,46019,202.7933989
102166,Alabama,88951,84211,56279,1360.078197
1021666,Alabama,61449,49254,51536,378.8821509
1021676,Alabama,51659,42586,39138,285.4936852
1021686,Alabama,46357,300000,26728,178.9959797
1021696,Alabama,72532,65185,55384,606.0447978
1021706,Alabama,51460,38525,36757,475.4468867
1021716,Alabama,44527,38139,36681,381.4901794
1021726,Alabama,31633,28982,24289,409.278686
1021736,Alabama,33042,23325,31099,330.2200569
1021746,Alabama,53559,300000,24136,139.0950736
1021756,Alabama,58835,41801,49863,382.1552613
102176,Alabama,61868,56246,44831,1277.268799
1021766,Alabama,46327,31463,35525,174.9599595
1021776,Alabama,60141,43585,50751,273.5251273
1021786,Alabama,40683,28886,35812,374.5550754
1021796,Alabama,61900,65528,43897,195.6872098
1021806,Alabama,53673,39630,49847,261.8569207
1021816,Alabama,63213,300000,38851,286.024105
1021826,Alabama,37893,28850,37859,205.9554381
1021836,Alabama,44858,32959,41497,431.7827107
1021846,Alabama,43726,28444,38686,267.6241033
1021856,Alabama,68310,59974,38238,375.9741459
102186,Alabama,34206,16878,39063,540.0098405
1021866,Alabama,65625,49674,60856,187.2547026
1021876,Alabama,31645,31497,20477,197.0904272
1021886,Alabama,58239,61815,49004,174.7838717
1021896,Alabama,42703,33772,31328,286.3256265
1021906,Alabama,65458,45588,47564,195.7925473
1021916,Alabama,23614,15982,20480,265.8210744
1021926,Alabama,30567,20489,27688,321.6892907
1021936,Alabama,26582,19843,18440,208.2968997
1021946,Alabama,47226,37458,34391,509.6531557
1021956,Alabama,41338,40569,19063,330.9922396
102196,Alabama,42170,26135,46568,569.2058781
1021966,Alabama,50821,54135,34788,224.3173571
1021976,Alabama,46422,40662,30381,396.418269
1021986,Alabama,57662,300000,30695,218.5254164
1021996,Alabama,55257,50235,34870,276.0537709
1022006,Alabama,51818,50579,30368,368.4510333
1022016,Alabama,81059,49903,70277,353.6571747
1022026,Alabama,57221,48383,41222,1103.55193
1022036,Alabama,42831,40855,32957,197.9898108
1022046,Alabama,63662,57710,42797,241.2540416
1022056,Alabama,31072,23243,22228,341.1506385
102206,Alabama,51077,47797,40234,442.9118942
1022066,Alabama,36536,23911,38627,166.795205
1022076,Alabama,65909,49884,54872,179.4585532
1022086,Alabama,32898,19505,32387,142.7611271
1022096,Alabama,42144,34726,33731,398.2223811
1022106,Alabama,31929,22709,23582,263.2276568
1022116,Alabama,50735,39380,40435,556.2117569
1022126,Alabama,55639,300000,47971,624.0137358
1022136,Alabama,59416,46048,45916,373.381964
1022146,Alabama,24359,22809,14966,465.1501609
1022156,Alabama,40956,28972,44086,594.3064314
102216,Alabama,52592,38743,40883,951.4714935
1022166,Alabama,54116,32380,54325,240.7529871
1022176,Alabama,78787,48388,70841,211.6603107
1022186,Alabama,37300,300000,28404,215.2987919
1022196,Alabama,37651,27315,36312,274.2860615
1022206,Alabama,26922,20881,23141,374.0825605
1022216,Alabama,53395,42052,42981,317.9186427
1022226,Alabama,24591,16667,25982,158.2598062
1022236,Alabama,43686,28110,51574,343.8895268
1022246,Alabama,47014,41328,37305,312.1232037
1022256,Alabama,69416,53258,59746,448.5422627
102226,Alabama,62728,53463,53245,1213.321946
1022266,Alabama,58553,45033,42907,401.4213232
1022276,Alabama,57312,45442,44993,427.5532598
1022286,Alabama,66532,53439,51825,339.2180916
1022296,Alabama,34057,24260,28608,323.2233475
1022306,Alabama,49175,37902,46107,358.1837788
1022316,Alabama,54235,42227,43566,294.7867944
1022326,Alabama,77322,45128,78600,403.5444994
1022336,Alabama,31235,21391,27591,336.6141727
1022346,Alabama,50287,42093,36400,415.2827134
1022356,Alabama,42148,32599,35347,550.2067912
102236,Alabama,51326,42647,33653,866.0044054
1022366,Alabama,40859,30827,37250,401.3885281
1022376,Alabama,38145,28550,35605,218.3195664
1022386,Alabama,30222,28006,20606,274.7912296
1022396,Alabama,18832,16684,11537,88.33146667
1022406,Alabama,29489,29052,15838,230.3303555
1022416,Alabama,29126,23435,18632,186.4629386
1022426,Alabama,43931,37499,31846,317.5569546
1022436,Alabama,25675,12611,26789,242.2482416
1022446,Alabama,30849,26300,28077,297.1736166
1022456,Alabama,68538,43322,63552,141.8603456
102246,Alabama,36740,25083,33276,1098.668639
1022466,Alabama,33091,21929,33637,246.5934083
1022476,Alabama,34319,30412,30305,212.4532229
1022486,Alabama,30472,14309,46679,229.4506292
1022496,Alabama,21753,15614,17714,311.3578801
1022506,Alabama,51831,34771,48141,408.8145886
1022516,Alabama,28327,23929,18744,290.2571993
1022526,Alabama,28613,19517,37732,465.2139292
1022536,Alabama,46565,37262,45317,614.1621046
1022546,Alabama,28720,26633,21802,439.4187826
1022556,Alabama,45016,46009,26218,174.0246755
102256,Alabama,37361,25986,38026,487.1812276
1022566,Alabama,52337,37992,49456,234.1529568
1022576,Alabama,47506,46585,32547,137.3623734
1022586,Alabama,21283,18646,12737,267.6587333
1022596,Alabama,29768,27182,22343,205.0598293
10226,Alabama,53701,44265,42398,2036.528282
1022606,Alabama,142440,123075,72551,52.72730913
1022616,Alabama,155368,300000,78717,122.8554401
1022626,Alabama,128504,104533,85800,252.3152398
1022636,Alabama,18813,17037,13371,135.3254667
1022646,Alabama,66500,300000,28213,208.3891287
1022656,Alabama,70449,63764,60898,164.2842864
102266,Alabama,45113,31818,45884,961.087959
1022666,Alabama,80117,70762,52938,505.3290304
1022676,Alabama,68096,66689,38318,325.5500718
1022686,Alabama,80998,70230,58272,345.7161677
1022696,Alabama,74951,65918,49663,478.005006
1022706,Alabama,51319,42982,33344,495.7749046
1022716,Alabama,46171,42204,35015,337.1836541
1022726,Alabama,50662,40369,43229,574.3325793
1022736,Alabama,54763,47866,30405,358.6528705
1022746,Alabama,90511,73076,57912,336.8369051
1022756,Alabama,53383,47460,34172,362.3226205
102276,Alabama,54558,50225,38587,1090.418052
1022766,Alabama,40281,24797,43647,388.2573215
1022776,Alabama,95153,85431,61817,243.9484253
1022786,Alabama,79077,39607,80856,399.7885504
1022796,Alabama,65070,53548,37505,551.5138951
1022806,Alabama,81011,57091,75071,521.3097434
1022816,Alabama,31871,21950,27401,100.1948213
1022826,Alabama,60913,300000,35897,270.1248897
1022836,Alabama,52520,35063,48743,408.144229
1022846,Alabama,77131,300000,63377,173.458966
1022856,Alabama,90324,88210,53865,651.0513084
102286,Alabama,54523,41056,42264,1006.302217
1022866,Alabama,46829,300000,28279,297.1941543
1022876,Alabama,128915,300000,84788,203.2241924
1022886,Alabama,115904,103436,66951,405.7373852
1022896,Alabama,48082,14259,58691,154.5205186
1022906,Alabama,19898,11362,28768,459.8986679
1022916,Alabama,28404,25315,18845,198.9589663
1022926,Alabama,45871,40925,26949,310.4918251
1022936,Alabama,66925,57489,39019,714.9638053
1022946,Alabama,58520,53758,32706,398.0816041
1022956,Alabama,65375,49876,45702,421.3534649
102296,Alabama,34479,22032,33189,947.3247838
1022966,Alabama,85950,62159,60426,345.011829
1022976,Alabama,53050,39930,53937,438.0785686
1022986,Alabama,49453,30636,36144,251.9273348
1022996,Alabama,50558,35481,47100,348.7475269
1023006,Alabama,49474,34122,46748,289.5220491
1023016,Alabama,82357,71002,63502,323.6048138
1023026,Alabama,34498,23556,36377,197.2570532
1023036,Alabama,44489,300000,29855,335.9549521
1023046,Alabama,71907,300000,48918,180.1938568
1023056,Alabama,60292,300000,43525,465.5199085
102306,Alabama,40819,28402,42411,1118.428439
1023066,Alabama,56743,51524,41271,689.8308291
1023076,Alabama,42186,29698,47342,257.0592238
1023086,Alabama,84102,78280,48448,192.2215796
1023096,Alabama,52624,47441,40626,264.1201373
1023106,Alabama,43849,30742,37222,583.2143143
1023116,Alabama,80593,60539,57881,464.9753908
1023126,Alabama,101327,85287,71138,750.5195825
1023136,Alabama,63560,52781,51846,111.1607508
1023146,Alabama,50328,36023,42007,365.5757267
1023156,Alabama,43995,35431,36578,315.9842836
102316,Alabama,53767,43691,45193,1352.484275
1023166,Alabama,47407,33659,47264,349.989237
1023176,Alabama,38058,30776,26164,378.8946101
1023186,Alabama,57474,42104,43712,483.4172277
1023196,Alabama,53441,30532,51596,268.6863725
1023206,Alabama,49178,42703,35945,998.1001425
1023216,Alabama,93252,88860,53694,160.6224391
1023226,Alabama,23273,20863,16217,490.4837608
1023236,Alabama,37494,22507,45377,459.0727038
1023246,Alabama,77007,300000,46110,212.5227513
1023256,Alabama,79876,75064,48133,741.4440946
102326,Alabama,48781,39117,40468,424.679176
1023266,Alabama,83331,75474,45271,223.1847952
1023276,Alabama,64802,63617,40696,387.4433471
1023286,Alabama,56419,48140,40933,563.5821841
1023296,Alabama,75746,64911,48878,1079.711832
1023306,Alabama,80729,69225,55309,396.5081168
1023316,Alabama,58474,44095,40051,210.4218114
1023326,Alabama,134609,300000,67906,173.7187742
1023336,Alabama,79792,56372,67825,389.4461558
1023346,Alabama,65716,49914,49851,662.0729416
1023356,Alabama,32346,20988,33541,170.3279928
102336,Alabama,36970,30452,29147,979.6669955
1023366,Alabama,48416,30152,50464,293.5516591
1023376,Alabama,47449,35339,37198,297.1586074
1023386,Alabama,50049,32935,57865,346.2553643
1023396,Alabama,31017,15096,35883,271.1526946
1023406,Alabama,55987,38909,44664,463.3839041
1023416,Alabama,62677,51925,44841,230.4232026
1023426,Alabama,58478,300000,38954,286.4929449
1023436,Alabama,55796,36870,49992,173.9928369
1023446,Alabama,61634,300000,46009,254.6280173
1023456,Alabama,32765,20717,29509,288.4854653
102346,Alabama,30928,20746,31024,433.1127876
1023466,Alabama,77080,60413,61358,162.9248121
1023476,Alabama,23700,16804,25449,337.3094266
1023486,Alabama,40489,34201,36346,419.4206951
1023496,Alabama,46053,32056,45729,180.8902691
1023506,Alabama,36931,34077,25961,177.8232053
1023516,Alabama,38383,30813,36375,534.3788386
1023526,Alabama,50132,29059,58102,260.6573092
1023536,Alabama,70996,68650,47507,261.1202951
1023546,Alabama,42432,300000,38313,304.0279745
1023556,Alabama,57689,54763,42667,323.4529665
102356,Alabama,40518,25216,39126,861.9988868
1023566,Alabama,35468,14533,41837,570.5563583
1023576,Alabama,49698,43324,43669,814.5363486
1023586,Alabama,108483,300000,78388,254.1584313
1023596,Alabama,58556,42972,51439,1025.259132
10236,Alabama,86000,66868,64338,870.7881814
1023606,Alabama,64660,56165,41770,536.7075345
1023616,Alabama,23955,20077,20213,233.618733
1023626,Alabama,24218,16243,23567,299.3390932
1023636,Alabama,43803,300000,28268,240.0613463
1023646,Alabama,48595,41530,38304,312.8861076
1023656,Alabama,58182,48215,45160,394.6197301
102366,Alabama,75861,55836,69018,554.7059801
1023666,Alabama,66912,55680,49569,539.1669383
1023676,Alabama,98744,92467,69504,616.8640959
1023686,Alabama,35313,25328,25644,466.7845561
1023696,Alabama,51099,39571,34541,279.7247622
1023706,Alabama,48721,46383,37861,479.5383784
1023716,Alabama,63538,49255,56525,551.3083627
1023726,Alabama,33457,21104,34577,361.0137245
1023736,Alabama,0,0,0,0
1023746,Alabama,65025,48748,51291,263.6920072
1023756,Alabama,33553,22348,28976,314.0610535
102376,Alabama,41374,27130,43691,1204.937945
1023766,Alabama,32307,33114,22159,219.1585743
1023776,Alabama,52473,51602,39175,163.7577937
1023786,Alabama,14023,11494,10200,376.8198166
1023796,Alabama,51585,39275,43379,302.1230365
1023806,Alabama,47899,300000,34528,444.8259158
1023816,Alabama,43562,31912,41835,438.815694
1023826,Alabama,33530,29294,19200,150.5639592
1023836,Alabama,24669,22640,19811,131.3241888
1023846,Alabama,102838,96944,54029,98.29091717
1023856,Alabama,48406,31702,51309,285.8924057
102386,Alabama,45068,36873,39979,564.8473636
1023866,Alabama,49593,54777,24162,190.8903164
1023876,Alabama,69004,300000,41886,71.69654575
1023886,Alabama,38679,28065,36734,386.7187015
1023896,Alabama,135664,125792,75085,353.8357316
1023906,Alabama,96002,300000,46932,162.0868733
1023916,Alabama,99568,99257,51364,459.6592632
1023926,Alabama,87238,300000,48659,365.410911
1023936,Alabama,86272,73460,56852,703.3268418
1023946,Alabama,48871,21249,51652,225.086628
1023956,Alabama,55287,36619,50965,186.7582349
102396,Alabama,31849,23740,27884,901.7896717
1023966,Alabama,65126,49578,55681,376.9475547
1023976,Alabama,44728,30715,32247,425.3547597
1023986,Alabama,50662,41789,38782,270.7571858
1023996,Alabama,45554,31079,45011,361.7193225
1024006,Alabama,78301,57511,63529,481.5452964
1024016,Alabama,45167,41084,30061,623.8500895
1024026,Alabama,48190,36191,42704,322.5283854
1024036,Alabama,47317,300000,32269,221.6618975
1024046,Alabama,52298,29581,54192,344.4062452
1024056,Alabama,26820,15337,42456,355.1220386
102406,Alabama,31502,23017,27647,1211.353679
1024066,Alabama,55440,39745,48155,352.7228625
1024076,Alabama,38677,30309,34105,261.0588752
1024086,Alabama,44124,40935,29087,401.1802206
1024096,Alabama,56777,49691,42143,374.9822761
1024106,Alabama,26882,23200,19629,267.6211618
1024116,Alabama,47470,34531,41869,624.1994449
1024126,Alabama,30365,24661,29060,330.6470399
1024136,Alabama,33523,22642,36256,332.7133937
1024146,Alabama,63023,300000,41817,614.9083972
1024156,Alabama,65548,54496,51644,891.026384
102416,Alabama,24534,15353,26832,895.8475898
1024166,Alabama,55128,44569,47377,302.5141411
1024176,Alabama,63437,61358,40278,400.8787807
1024186,Alabama,60199,52591,39421,255.590821
1024196,Alabama,133935,123216,82192,212.7497007
1024206,Alabama,114188,300000,46984,141.6175113
1024216,Alabama,61447,300000,33919,551.2759431
1024226,Alabama,47515,38790,35105,132.2292147
1024236,Alabama,124681,111108,61531,114.1183323
1024246,Alabama,64499,61078,48922,333.043778
1024256,Alabama,67471,61618,58096,324.7065011
102426,Alabama,27306,20635,24140,529.0055844
1024266,Alabama,81035,300000,48137,176.1559371
1024276,Alabama,114805,110344,67381,453.599454
1024286,Alabama,67015,54838,56605,522.1379374
1024296,Alabama,30720,23681,28204,220.2233416
1024306,Alabama,74941,59257,51277,333.2479551
1024316,Alabama,45623,48211,34985,360.7796963
1024326,Alabama,30518,300000,18938,203.1642276
1024336,Alabama,20842,13928,18610,227.7970519
1024346,Alabama,56039,300000,36402,324.0910668
1024356,Alabama,42395,38497,34664,249.9247523
102436,Alabama,20724,13490,21047,638.6258063
1024366,Alabama,40286,31306,39643,461.2890428
1024376,Alabama,57732,53384,44292,326.1204453
1024386,Alabama,74831,65949,50599,219.3528545
1024396,Alabama,126456,300000,64426,167.8186019
1024406,Alabama,77645,75235,44939,512.229234
1024416,Alabama,51913,45486,32933,198.7602715
1024426,Alabama,125421,107411,75182,262.9486675
1024436,Alabama,54986,43725,44263,601.6783133
1024446,Alabama,58765,51483,35724,419.0446436
1024456,Alabama,48158,39959,28523,325.1892163
102446,Alabama,53410,44414,41526,1451.54413
1024466,Alabama,31061,24484,31856,339.6137688
1024476,Alabama,28049,25211,21071,238.9948
1024486,Alabama,68542,47824,56598,429.2177132
1024496,Alabama,29516,30584,18341,733.1892568
1024506,Alabama,44856,36678,40719,628.6049417
1024516,Alabama,69796,54429,49212,327.1825658
1024526,Alabama,48437,35721,39976,467.9554644
1024536,Alabama,32015,21826,29990,413.9801929
1024546,Alabama,49334,32579,42545,366.81512
1024556,Alabama,51500,46017,40239,196.4252986
102456,Alabama,35707,24378,32636,750.2262188
1024566,Alabama,45265,31524,44482,315.692253
1024576,Alabama,45381,28999,34110,228.0600445
1024586,Alabama,28710,18681,35235,623.4972583
1024596,Alabama,31636,23205,25782,252.2529193
10246,Alabama,36939,27636,33907,870.2062436
1024606,Alabama,39763,36936,22304,233.2617125
1024616,Alabama,36736,20436,42108,168.2563661
102466,Alabama,82907,64476,66179,610.0227619
102476,Alabama,42947,32289,42160,558.9018911
102486,Alabama,72958,66976,42709,695.4963767
102496,Alabama,64478,53139,50071,1683.788823
102506,Alabama,52012,42042,40021,787.8017848
102516,Alabama,62219,44282,57897,872.3655141
102526,Alabama,140732,133231,83317,567.7841102
102536,Alabama,30586,27480,24560,1077.255591
102546,Alabama,96563,91182,59474,1511.205712
102556,Alabama,118301,110028,67248,1115.451495
10256,Alabama,50506,41379,42907,1119.724901
102566,Alabama,40060,28315,38509,1147.468632
102576,Alabama,59353,47811,44923,1258.893161
102586,Alabama,50843,34892,45383,1461.2775
102596,Alabama,40521,24321,41454,287.2403426
1026,Alabama,75875,61166,63335,670.5723495
102606,Alabama,30665,22207,31217,1075.211962
102616,Alabama,55067,39086,47067,986.2200586
102626,Alabama,42963,35092,34814,1182.092074
102636,Alabama,26622,17354,27609,592.1728401
102646,Alabama,36412,28544,32135,473.6703042
102656,Alabama,42294,33121,30056,700.8447761
10266,Alabama,54667,46471,36483,2028.184293
102666,Alabama,36376,25216,34869,1313.145306
102676,Alabama,79587,66704,54796,558.4082219
102686,Alabama,94067,80758,59507,558.6366095
102696,Alabama,77787,69213,49812,1011.037833
102706,Alabama,116068,109549,62384,673.2055075
102716,Alabama,97765,93741,63278,1367.420812
102726,Alabama,45191,33640,40691,674.433389
102736,Alabama,56133,38275,54098,1633.505762
102746,Alabama,43988,29075,41011,1106.1903
102756,Alabama,22203,15085,19617,460.3414244
10276,Alabama,52208,42042,41432,477.3432974
102766,Alabama,55238,42454,48099,441.5738229
102776,Alabama,46324,36369,42351,891.9560499
102786,Alabama,28217,20142,24349,740.7289713
102796,Alabama,101118,73032,76595,715.2588153
102806,Alabama,0,0,0,0
102816,Alabama,71008,62620,53428,1492.200125
102826,Alabama,26337,20116,21663,431.9821376
102836,Alabama,48430,44787,38003,630.4737793
102846,Alabama,75214,56706,61257,1767.498504
102856,Alabama,43982,32163,37414,1884.001702
10286,Alabama,59980,40580,59602,1027.31969
102866,Alabama,25820,19718,25437,497.7129785
102876,Alabama,44326,26777,40267,507.1520508
102886,Alabama,31018,14709,43204,1100.10776
102896,Alabama,54451,38772,52957,973.9265753
102906,Alabama,33100,19480,39253,937.0271545
102916,Alabama,46649,34723,44631,1411.892127
102926,Alabama,30257,24891,22041,1986.376626
102936,Alabama,46816,32820,39885,469.146841
102946,Alabama,23165,14550,23456,814.4432829
102956,Alabama,74890,63155,59315,854.0993606
10296,Alabama,54250,43854,40902,1709.609633
102966,Alabama,54365,47202,43412,1525.404802
102976,Alabama,34635,23175,34742,1556.618898
102986,Alabama,47083,41874,40811,775.9038201
102996,Alabama,39045,30117,32894,2329.721995
201360,Alaska,40008,33347,32543,125.2962561
201370,Alaska,93374,300000,43837,26.53114411
201380,Alaska,94285,78124,70054,614.4649339
201390,Alaska,63175,59795,43206,68.76313942
201400,Alaska,51011,41718,37096,144.5942907
201410,Alaska,48313,44853,38154,21.7988164
201420,Alaska,57085,38571,51848,70.66270037
201430,Alaska,79728,62878,60850,391.309229
201440,Alaska,68267,56650,41914,452.0460154
201450,Alaska,71796,300000,48301,11.59953597
201460,Alaska,76885,59124,54835,67.8296125
201470,Alaska,97802,300000,65155,580.2908623
201480,Alaska,95667,91135,57327,166.8191166
201490,Alaska,47031,33763,37726,12.06633599
201500,Alaska,62545,45810,43599,31.1989244
201510,Alaska,58463,41209,52139,69.99660614
201520,Alaska,74363,60544,56650,1094.918618
201530,Alaska,55482,44147,43722,114.530263
201540,Alaska,0,0,0,0
201550,Alaska,43471,24491,37909,49.29886862
201560,Alaska,101864,300000,35736,24.39769589
201570,Alaska,33847,27223,21247,14.53283465
201580,Alaska,65682,51784,49294,54.99796057
201590,Alaska,58004,300000,45624,27.69938996
201600,Alaska,79191,66964,59802,604.9999905
201610,Alaska,77110,84804,54957,37.79753595
201620,Alaska,39794,26943,55547,38.26361333
201630,Alaska,67102,300000,41868,11.79961198
201640,Alaska,55786,43243,40619,108.0289107
201650,Alaska,81352,69886,49197,174.6890738
201660,Alaska,20652,17126,19643,7.332888886
201670,Alaska,51237,45813,35996,71.26401588
201680,Alaska,0,0,0,0
201690,Alaska,73951,64415,53933,123.0609662
201700,Alaska,242857,300000,25317,0.866493333
202107,Alaska,97685,86630,64617,546.0031679
202117,Alaska,62733,50708,52096,301.7860472
202127,Alaska,84692,82973,51487,937.7795344
202137,Alaska,95014,86266,63620,732.6474422
202147,Alaska,58546,45462,45306,626.1723707
202157,Alaska,54967,45144,46848,478.9414298
202167,Alaska,53751,40060,45019,227.120571
20217,Alaska,64869,53765,47295,1375.814526
202177,Alaska,133300,300000,60207,72.76073984
202187,Alaska,109312,105321,65670,160.2236655
202197,Alaska,46024,40752,34333,450.2549115
202207,Alaska,62940,54003,49175,313.519324
202217,Alaska,77951,300000,57464,208.4249086
202227,Alaska,77947,300000,55262,196.4935312
202237,Alaska,62693,31880,72735,443.8733977
202247,Alaska,128395,300000,72292,169.122132
202257,Alaska,117755,300000,66123,159.4925122
202267,Alaska,83006,73337,57379,175.2209225
20227,Alaska,92042,84964,53722,636.8614387
202277,Alaska,97885,300000,47596,38.82900267
202287,Alaska,89946,83403,43459,126.3854664
202297,Alaska,71733,59794,60241,145.5270906
202307,Alaska,58345,300000,41274,287.9910244
202317,Alaska,115266,115283,81014,202.681254
202327,Alaska,95568,79940,55248,209.312407
202337,Alaska,86400,84689,40302,191.5858005
202347,Alaska,81726,65511,54440,157.0234859
202357,Alaska,92426,300000,47964,155.6572533
202367,Alaska,82394,300000,44169,539.0669786
20237,Alaska,70573,58231,53627,974.5618303
202377,Alaska,144635,138010,79563,131.6483398
